Sample ID,Model,MSE,R2,Params,Category
0,Model 5,480.3868955044753,-2.726038014006568,[-0.029294450722097586],C
1,Model 5,21.480908157061194,0.9669986483077082,[-0.021655885357051843],C
2,Model 5,66.54325558078109,0.9119422467681639,[-0.0122437103777676],C
3,Model 5,71.44509014460407,0.8398983474259312,[-0.02099332397563307],C
4,Model 5,418.71607235615465,0.28761312902973646,[-0.022469142819017164],D
5,Model 5,39.809905179270466,0.9282516744897477,[-0.0015703551559402749],F
6,Model 5,79.09131953504368,0.8787495384018355,[-0.04630456325477108],B
7,Model 5,253.18800841759742,0.2493317975109054,[-0.0007071145194216452],G
8,Model 5,136.52106644502527,0.6853554587003716,[-0.004996882621890112],E
9,Model 5,421.6804420033072,-0.28192677528823196,[-0.041077580307006006],B
10,Model 5,138.82871550581564,0.7524933386887256,[-0.015424612004561251],D
11,Model 5,101.92790982953719,0.3128498826632864,[-0.0038766102643853655],D
12,Model 5,339.73431916038135,-0.8230465794697794,[-0.0028994363991251],E
13,Model 5,809.3234520875045,-0.7276161793233795,[-0.003925426650277759],F
14,Model 5,66.15408957756205,0.8095873695417297,[-0.0016783386598891892],F
15,Model 5,345.25656458634074,0.23999373377024324,[-0.0036333278503190404],F
16,Model 5,186.50114665465898,0.5006643524529166,[-0.061013978441528324],B
17,Model 5,11.70302611487619,0.9884767423903718,[-0.008109127674437451],D
18,Model 5,184.8947005103366,0.7466638606740204,[-0.010520215361530609],E
19,Model 5,1106.8022584556352,-0.6778808019536822,[-0.006855420459112778],F
20,Model 5,57.53498049372808,0.91851805117731,[-0.005353320269387587],E
21,Model 5,12.431007529410007,0.9728699933942588,[-0.0013072673853580536],F
22,Model 5,558.5760282216518,-0.8139566874783746,[-0.006561308940824687],E
23,Model 5,104.73656299170295,0.7313016016256826,[-0.03368391753276804],B
24,Model 5,164.4941126270274,0.5407923833041571,[-0.0015815157090140434],F
25,Model 5,305.31938655277185,0.47553295456255695,[-0.011929833521514948],E
26,Model 5,559.0587577389399,-0.10052197715995193,[-0.009082518017799869],E
27,Model 5,59.69253979251569,0.4864303779264386,[-0.4490450900711397],A
28,Model 5,147.02541210233952,0.7916969848197526,[-0.06144379972453062],C
29,Model 5,268.92626568619727,0.6098723142085387,[-0.008306487792855134],E
30,Model 5,239.9287049142866,0.46866486257939566,[-0.004461580344661979],E
31,Model 5,234.46406206372373,0.6198126011290226,[-0.002586569679026954],G
32,Model 5,95.93220999648103,0.8679413612597514,[-0.06351716360442079],C
33,Model 5,103.9300780007329,0.6654100068706521,[-0.007120627832170602],D
34,Model 5,108.583117642607,0.8822091844535406,[-0.05632072569042037],C
35,Model 5,235.84414233748197,0.2762760167331273,[-0.0034049932931401205],E
36,Model 5,178.035713831646,0.7730502408281937,[-0.07001770244805337],E
37,Model 5,1833.299220826519,-3.1589978236398357,[-0.023004601229717054],B
38,Model 5,285.51157337164506,0.10807195735575115,[-0.000745476436492043],D
