Sample ID,Model,MSE,R2,Params,Category
0,Model 2,27.628635891013907,0.7857032559205084,"[0.5289871208552027, 0.12415711599496466]",C
1,Model 2,46.75055907753169,0.9281766101019464,"[0.12839566301023667, 0.5991277381254282]",C
2,Model 2,3.340318261483868,0.9955797034783117,"[0.018651717874906465, 1.110800000961718]",C
3,Model 2,14.638199705099705,0.967197186556105,"[0.17830566563419406, 0.47187485837948284]",C
4,Model 2,63.6284400157986,0.8917451029942352,"[0.4294232129744119, 0.20764143004346647]",D
5,Model 2,5.556742653065215,0.989985231593658,"[0.04876278803030595, 0.4900435800395504]",F
6,Model 2,49.383922793100986,0.9242922805006618,"[0.3135171149927823, 0.3682016029806382]",B
7,Model 2,2.7457839723382444,0.9918591218761873,"[0.12649806670903477, 0.2652899424229772]",G
8,Model 2,47.466184028730254,0.8906031421386703,"[0.13725989150210025, 0.36730231861782797]",E
9,Model 2,16.701847611583258,0.9492256611467305,"[0.44779383436043785, 0.2039507630459835]",B
10,Model 2,8.95707298598815,0.9840311478658718,"[0.25254476692106115, 0.31800127547406737]",D
11,Model 2,2.943747565812523,0.9801546358731319,"[0.12419665694610095, 0.3314249928173858]",D
12,Model 2,9.012847840876052,0.9516362036423114,"[0.23783609688474566, 0.1957688420722053]",E
13,Model 2,32.359753759571035,0.930923496644317,"[0.3465658008347109, 0.15412873473313207]",F
14,Model 2,1.5543223370237704,0.9955261631342421,"[0.058792727575114834, 0.4519471639948568]",F
15,Model 2,39.18684750509299,0.9137387881578926,"[0.24586338699367177, 0.22489832474459567]",F
16,Model 2,6.630729010585505,0.9822469758304446,"[0.3601897942191699, 0.3411826467071405]",B
17,Model 2,26.738366130417106,0.973672358075857,"[0.03959380756052375, 0.751652039288128]",D
18,Model 2,3.1468571946482924,0.9956882882500041,"[0.168941435516127, 0.36494151097838834]",E
19,Model 2,73.66996916290539,0.8883184182227494,"[0.4250904464652829, 0.1695588552245992]",F
20,Model 2,8.805646533984458,0.9875293041889354,"[0.09353734882501008, 0.4748479521272582]",E
21,Model 2,3.032330449691764,0.993382101576538,"[0.01711657758346664, 0.6663382492483624]",F
22,Model 2,7.718065563026047,0.9749358441195186,"[0.28032663375423866, 0.21441682394451747]",E
23,Model 2,26.2820796457081,0.9325741412069494,"[0.22277861961183024, 0.4700175795460081]",B
24,Model 2,6.707800299459168,0.9812742660537007,"[0.09412873445011388, 0.3574499067386922]",F
25,Model 2,25.273324707993492,0.9565863599831009,"[0.2631251191519812, 0.2543511511980908]",E
26,Model 2,30.680324040070595,0.9396049692360723,"[0.31859860192555955, 0.22232717572776586]",E
27,Model 2,4.522927421753833,0.9610866259882695,"[0.7875998511539966, 0.25127011155462725]",A
28,Model 2,40.65177804964827,0.9424052766178562,"[0.3846465605973025, 0.32009875002557137]",C
29,Model 2,29.52929837145903,0.9571622474015035,"[0.2322718739453195, 0.28390326603820715]",E
30,Model 2,5.6105198039662305,0.9875751994239023,"[0.16776336628929364, 0.31914441162208174]",E
31,Model 2,60.36950575890294,0.9021098365199957,"[0.16725174071501325, 0.287051248174188]",G
32,Model 2,104.7345952933626,0.8558241482817954,"[0.42356958329687644, 0.3063307881047586]",C
33,Model 2,2.705443149044535,0.9912901614040521,"[0.12649629686913105, 0.4116221010303641]",D
34,Model 2,176.7804288138056,0.808228835801449,"[0.31566169780039083, 0.3662137810468139]",C
35,Model 2,20.647917300563616,0.9366386936439338,"[0.11743690265165548, 0.3498350491313699]",E
36,Model 2,123.46257406447344,0.8426169623631828,"[0.4437266808719032, 0.30793805214993436]",E
37,Model 2,124.39740136169249,0.717793737294842,"[0.6006452253923389, 0.13704623757694667]",B
38,Model 2,54.805086629590356,0.8287908505171173,"[0.1250460302694815, 0.282707070130988]",D
