Sample ID,Model,MSE,R2,Params,Category
0,Model 1,17.65571822706237,0.8630564699115316,"[4.240017604093021, 0.2652829279828191]",C
1,Model 1,15.428991661383575,0.976296273120679,"[12.835461858204315, 1.3787478748135082]",C
2,Model 1,25.583767110271324,0.966144592246435,"[22.670092477141154, 1.7519662741895856]",C
3,Model 1,4.698762096478203,0.9894705209948514,"[13.764195543332018, 0.7081887736780218]",C
4,Model 1,21.989754951857012,0.9625875055729133,"[4.707014254887236, 0.48496873353940106]",D
5,Model 1,5.647163235172522,0.989822269001091,"[171.6343934234978, 0.7921373814126456]",F
6,Model 1,9.897624206300868,0.9848265080062621,"[5.706438527171166, 0.7391378049842775]",B
7,Model 1,1.8751422429797644,0.9944404568535989,"[423.55817266436964, 0.3695474678218167]",G
8,Model 1,19.980924041045984,0.9539493146124136,"[56.183920450431124, 0.6561485926713683]",E
9,Model 1,12.045928989673177,0.9633798550586757,"[4.555575704953651, 0.32856172379973136]",B
10,Model 1,4.158604607450101,0.9925859550140365,"[14.836141948308281, 0.5814080490652229]",D
11,Model 1,1.832149650359593,0.9876485071720936,"[166.9274551877246, 0.4142803262099905]",D
12,Model 1,6.268976497339462,0.9663600775202934,"[160.29136589217111, 0.2683435641968803]",E
13,Model 1,24.186512063745283,0.9483704451477966,"[36.29240865224913, 0.24405013108892892]",F
14,Model 1,4.596905741073113,0.9867686348687453,"[197.47449399391837, 0.6080184630601028]",F
15,Model 1,29.910524946491712,0.9341585686783651,"[52.26291768351028, 0.39201909206398167]",F
16,Model 1,1.1286136959311415,0.9969782649554868,"[4.632339252217548, 0.5561531935428463]",B
17,Model 1,9.754766715441448,0.9903950748566668,"[33.20620168247477, 1.254759360256537]",D
18,Model 1,12.502288022676597,0.9828698098341155,"[29.872071981367295, 0.5877764884090567]",E
19,Model 1,6.492195830424919,0.9901580154330428,"[6.4276527288265, 0.5135044364507385]",F
20,Model 1,28.458319762181905,0.9596968777160769,"[49.62126858105048, 0.7887415589383909]",E
21,Model 1,13.481918105505992,0.9705764374774054,"[214.3963677549057, 1.0128139386366082]",F
22,Model 1,11.115316281580416,0.9639033877508092,"[39.94814069394771, 0.3221268048749395]",E
23,Model 1,33.063623605983395,0.9151763008675127,"[9.382124767159569, 0.6222085310498219]",B
24,Model 1,3.50454887440947,0.9902165766876981,"[200.45056637650285, 0.5074447070488664]",F
25,Model 1,7.7031247806619945,0.986767839605719,"[25.560156347283403, 0.40594438149898376]",E
26,Model 1,11.166297474128665,0.9780188475653526,"[16.26913680035175, 0.45038920958028866]",E
27,Model 1,6.805443832618902,0.941448810365426,"[0.48257567101738075, 0.6788842066582066]",A
28,Model 1,3.8965955506163277,0.9944793720315075,"[3.6159023290352166, 0.6944543268427762]",C
29,Model 1,12.047319243671517,0.9825231173885827,"[25.54307337753634, 0.5194857866408387]",E
30,Model 1,8.519028982680943,0.9811341480094266,"[56.26455179566768, 0.48989285414661254]",E
31,Model 1,27.353496352058965,0.9556458480818708,"[79.6296857505845, 0.6346855952527187]",G
32,Model 1,0.9181590328204041,0.998736077986468,"[3.1247789092554195, 0.9766442893881174]",C
33,Model 1,3.8312637369189946,0.9876657216845021,"[54.34596509473756, 0.5271772422641623]",D
34,Model 1,52.66129710965605,0.9428730978723825,"[4.260404373644356, 0.9880043296364067]",C
35,Model 1,11.06021306499646,0.9660600370403712,"[117.74512241666213, 0.4957875556262457]",E
36,Model 1,10.13888255060952,0.9870755316244698,"[2.601613650758519, 0.8925559110309316]",E
37,Model 1,11.997175639082192,0.9727833695634951,"[1.7956822764061036, 0.6761531640140994]",B
38,Model 1,87.49354606004165,0.726673261052865,"[269.16125362561854, 0.4251784273350639]",D
